"group","id_month","timesteps","ndays","mean_timesteps","step_len_mean_Foraging","step_len_mean_Travel","step_len_sd_Foraging","step_len_sd_Travel","rel_angle_mean_Foraging","rel_angle_mean_Travel","rel_angle_sd_Foraging","rel_angle_sd_Travel","max_random_angle_95q_Foraging","max_random_angle_95q_Travel","max_random_angle_75q_Foraging","max_random_angle_75q_Travel","perc_behavior_mean_Foraging","perc_behavior_mean_Travel","perc_behavior_sd_Foraging","perc_behavior_sd_Travel","p_foraging_while_traveling"
"Guareí","Aug",867,8,108,13.8710473509899,25.3008138996125,13.7254532336726,15.7471396125556,10.1541516836957,176.400921718385,125.949265664996,103.287726635917,2.00688981840123,1.8458698467047,1.34781575524918,1.03907225106833,34.4556296786758,14.9168470539346,8.92014473517386,5.47673239070286,0.697871201910313
"Guareí","Jul",853,8,107,12.9337858396692,25.1995179540689,14.0491651641941,17.2961236839912,171.482325020672,20.1504791709138,121.886179327167,143.15539615832,2.11393499036032,2.40764780275294,1.32052986154008,1.26978196623662,26.0815519629014,22.5194833211812,8.40532361925358,3.82608401278529,0.536646016086892
"Guareí","Jun",657,6,110,12.1373560652533,25.4414828210432,12.6337659088232,19.4057102365906,9.18130088392058,11.6515544569431,122.367813402987,130.501678435919,2.17678785778142,2.08892705497986,1.37871763170089,1.31991803788654,27.5913681653336,30.635985669282,8.7367637626895,4.05881146415883,0.473855779943254
"Guareí","May",447,4,112,14.0602715522035,23.4262529560658,13.8648191047585,18.0080855378405,2.99153016767734,169.914975069172,90.6530823729007,128.589004807949,2.41948877540977,1.95691210399625,1.20389479931005,1.18441339288751,18.9702060391716,33.3817786619511,2.99999168930598,4.46903177029524,0.362358870393786
"Santa Maria","Apr",451,4,113,21.034303941083,35.9710991158429,19.220922797291,26.5914220857306,164.764508237006,174.611194648235,137.35963366138,114.51881200983,2.14091886810278,2.1499641849992,1.0995006245069,1.02552210627189,13.3220345763812,8.40390323485279,4.78334946026688,2.3769275389424,0.613185708811736
"Santa Maria","Mar",699,6,116,16.9495389420606,32.374746763731,16.2962132667175,21.3023138075332,169.704999762294,166.832119300601,121.4195579421,136.451543887927,2.7731295186176,2.08309596214119,1.566062907285,1.2041880664503,14.7724332823316,10.1415161724714,9.89184007882804,5.09475033586902,0.592938237637939
"Suzano","Dec",726,6,121,8.38432687131186,17.489357303595,6.32171562920328,6.56290281153064,168.888462568066,8.30668358657759,135.941131714052,133.083614612306,1.77616760147505,1.53544052116956,0.893676966982764,0.829527560281861,7.11110707655651,27.2804295373712,1.21833693537617,6.65041359260956,0.206769100095304
"Suzano","Sep",347,3,116,7.510744785865,17.9358226338939,5.38488613296073,7.08567737411821,177.806574818699,2.2068496019158,84.9114643960009,86.0522826492897,1.69206399251517,1.74087000045147,0.97597193999985,1.11027113310918,9.52935694315005,21.1766076421249,1.05836794297548,6.0950805182427,0.310342211093406
"Taquara","Jan",855,6,142,30.887319222552,39.3060092615361,9.77470384917295,13.2060760646049,2.32159019484973,3.24270169983598,101.959295569012,128.693085613784,1.30630254943119,0.74353459313003,0.750758568271881,0.311605959436035,9.57805761490886,35.3644991522944,1.28859327864569,5.18112370813313,0.213117773083583
