"group","id_month","step_len_mean_Foraging","step_len_mean_Travel","step_len_sd_Foraging","step_len_sd_Travel","rel_angle_mean_Foraging","rel_angle_mean_Travel","rel_angle_sd_Foraging","rel_angle_sd_Travel","max_random_angle_95q_Foraging","max_random_angle_95q_Travel","max_random_angle_75q_Foraging","max_random_angle_75q_Travel"
"Guareí","Aug",13.8710473509899,25.3008138996125,13.7254532336726,15.7471396125556,90.1080804741487,99.3606252556861,56.0491789242274,66.1744709655099,114.986316542167,105.76055174664,77.2241543370157,59.534454595373
"Guareí","Jul",12.9337858396692,25.1995179540689,14.0491651641941,17.2961236839912,96.2307422530089,89.8292011607193,56.6615344333884,59.8646335513458,121.119553112675,137.948057651689,75.6607877872415,72.7531475671815
"Guareí","Jun",12.1373560652533,25.4414828210432,12.6337659088232,19.4057102365906,81.9411464775214,81.5367711552151,55.9179316203913,58.607100449301,124.720757146199,119.686703961038,78.9947014367335,75.6257328740872
"Guareí","May",14.0602715522035,23.4262529560658,13.8648191047585,18.0080855378405,74.767947972844,92.2081297960574,62.7715738681982,59.1135759583742,138.626495410256,112.122804437051,68.9780909782148,67.8618886112244
"Santa Maria","Apr",21.034303941083,35.9710991158429,19.220922797291,26.5914220857306,87.3405700818386,91.8929844746607,58.9870759464476,67.3151228320178,122.665615422215,123.183873904738,62.9967453562436,58.7580884867459
"Santa Maria","Mar",16.9495389420606,32.374746763731,16.2962132667175,21.3023138075332,102.170944851821,89.7757091489712,58.8387369380331,66.9236242477492,158.888617459934,119.352606951433,89.728795039418,68.9948939476212
"Suzano","Dec",8.38432687131186,17.489357303595,6.32171562920328,6.56290281153064,93.2194377138095,83.4688478062294,68.755666816282,71.6281519076352,101.766907272395,87.9742615563833,51.2039184561646,47.5284281939346
"Suzano","Sep",7.510744785865,17.9358226338939,5.38488613296073,7.08567737411821,100.25655569895,67.7059916133521,60.0022884053079,59.8167352325539,96.948125437175,99.7445037068071,55.9190730851866,63.6138500423639
"Taquara","Jan",30.887319222552,39.3060092615361,9.77470384917295,13.2060760646049,66.8146646266104,70.7693349906905,73.8040059106656,97.325663437134,74.8456228495869,42.6013941083276,43.015297395263,17.8537063468095
