disp_event;species;feed_datetime;feed_x;feed_y;id_feedtree;def_datetime;def_x;def_y;id_feces;n_seeds;SDD;gut_transit_time;gut_transit_time_hms;id_month;group;GTT
SDApr31;Annona emarginata;15/04/2019 11:23;781650.3512;7408070.103;AG73;15/04/2019 11:36;781645.1413;7408075.628;FGA33;1;7.59769702;13;00:13:00;Apr;Guareí;00:13:00
SDApr32;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:39;781741.2491;7407886.484;FGA35;4;35.0355762;928;15:28:00;Apr;Guareí;15:28:00
SDApr33;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:40;781741.2491;7407886.484;FGA36;8;35.0355762;929;15:29:00;Apr;Guareí;15:29:00
SDApr34;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:40;781741.2491;7407886.484;FGA36;7;35.0355762;929;15:29:00;Apr;Guareí;15:29:00
SDApr35;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:41;781741.2491;7407886.484;FGA37;4;35.0355762;930;15:30:00;Apr;Guareí;15:30:00
SDApr36;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:43;781741.2491;7407886.484;FGA38;3;35.0355762;932;15:32:00;Apr;Guareí;15:32:00
SDApr37;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:44;781741.2491;7407886.484;FGA39;7;35.0355762;933;15:33:00;Apr;Guareí;15:33:00
SDApr38;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:44;781741.2491;7407886.484;FGA39;6;35.0355762;933;15:33:00;Apr;Guareí;15:33:00
SDApr39;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:44;781741.2491;7407886.484;FGA39;2;35.0355762;933;15:33:00;Apr;Guareí;15:33:00
SDApr40;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:52;781733.9773;7407885.954;FGA40;4;35.8363084;941;15:41:00;Apr;Guareí;15:41:00
SDApr41;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:56;781728.597;7407887.943;FGA41;5;35.06240865;945;15:45:00;Apr;Guareí;15:45:00
SDApr42;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 06:57;781728.597;7407887.943;FGA42;5;35.06240865;946;15:46:00;Apr;Guareí;15:46:00
SDApr43;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 07:00;781729.7282;7407888.367;FGA43;5;34.33122922;949;15:49:00;Apr;Guareí;15:49:00
SDApr44;Celtis iguanaea;15/04/2019 15:11;781738.9516;7407921.44;AG105;16/04/2019 07:00;781729.7282;7407888.367;FGA43;1;34.33122922;949;15:49:00;Apr;Guareí;15:49:00
SDApr45;Celtis iguanaea;16/04/2019 07:30;781867.5986;7407946.575;AG106;16/04/2019 07:51;781794.9314;7407949.409;FGA44;2;72.72508371;21;00:21:00;Apr;Guareí;00:21:00
SDApr46;Celtis iguanaea;16/04/2019 07:30;781867.5986;7407946.575;AG106;16/04/2019 07:52;781794.9314;7407949.409;FGA45;3;72.72508371;22;00:22:00;Apr;Guareí;00:22:00
SDApr47;Celtis iguanaea;16/04/2019 07:30;781867.5986;7407946.575;AG106;16/04/2019 08:03;781820.0132;7407966.664;FGA46;2;51.65282664;33;00:33:00;Apr;Guareí;00:33:00
SDApr48;Celtis iguanaea;16/04/2019 07:30;781867.5986;7407946.575;AG106;16/04/2019 08:12;781822.8809;7407961.509;FGA47;6;47.14640283;42;00:42:00;Apr;Guareí;00:42:00
SDApr49;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 08:59;781877.8556;7407948.156;FGA48;4;10.38094408;36;00:36:00;Apr;Guareí;00:36:00
SDApr50;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 09:24;781922.2564;7408001.829;FGA49;2;77.71922606;61;01:01:00;Apr;Guareí;01:01:00
SDApr51;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 09:43;781938.3638;7407993.652;FGA50;6;84.98566056;80;01:20:00;Apr;Guareí;01:20:00
SDApr52;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 09:44;781948.8098;7407999.658;FGA51;10;97.01829982;81;01:21:00;Apr;Guareí;01:21:00
SDApr53;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 09:44;781948.8098;7407999.658;FGA51;5;97.01829982;81;01:21:00;Apr;Guareí;01:21:00
SDApr54;Celtis iguanaea;16/04/2019 08:23;781867.5986;7407946.575;AG106;16/04/2019 09:45;781948.8098;7407999.658;FGA52;6;97.01829982;82;01:22:00;Apr;Guareí;01:22:00
SDApr55;Diospyros inconstans;17/04/2019 12:31;782061.3873;7407522.575;AG82;17/04/2019 13:23;781907.8338;7407793.516;FGA53;1;311.4308225;52;00:52:00;Apr;Guareí;00:52:00
SDApr56;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 16:02;781917.3341;7407894.308;FGA54;7;88.34369813;196;03:16:00;Apr;Guareí;03:16:00
SDApr57;Diospyros inconstans;17/04/2019 12:31;782061.3873;7407522.575;AG82;17/04/2019 13:27;781908.8032;7407833.398;FGA55;2;346.2553689;56;00:56:00;Apr;Guareí;00:56:00
SDApr58;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 15:48;781902.7937;7407898.795;FGA56;4;74.02176572;182;03:02:00;Apr;Guareí;03:02:00
SDApr59;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 15:50;781908.1168;7407893.815;FGA57;3;81.29116557;184;03:04:00;Apr;Guareí;03:04:00
SDApr60;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 15:30;781906.1661;7407898.953;FGA58;9;76.59047591;164;02:44:00;Apr;Guareí;02:44:00
SDApr61;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 16:05;781911.6358;7407901.18;FGA59;2;79.77230096;199;03:19:00;Apr;Guareí;03:19:00
SDApr62;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 16:26;781870.9324;7407917.474;FGA60;1;37.86527961;220;03:40:00;Apr;Guareí;03:40:00
SDApr63;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 15:43;781883.86;7407898.609;FGA61;1;60.56913488;177;02:57:00;Apr;Guareí;02:57:00
SDApr64;Annona emarginata;17/04/2019 13:57;781775.408;7407822.101;AG63;17/04/2019 15:43;781883.86;7407898.609;FGA61;3;0;106;01:46:00;Apr;Guareí;01:46:00
SDApr65;Celtis iguanaea;17/04/2019 12:46;781845.0641;7407945.124;AG118;17/04/2019 15:49;781908.1168;7407893.815;FGA62;7;81.29116557;183;03:03:00;Apr;Guareí;03:03:00
