"id_feces","datetime","n_seeds","n_sp_feces","sp_seed","n_seeds_sp","dispersal","disp_event","def_east","def_north"
"FGJL41",2019-07-15 12:59:00,4,1,"Pereskia aculeata",4,"Yes","SDJY26",782125.996790811,7407694.9998324
"FGJL42",2019-07-15 13:10:00,10,1,"Pereskia aculeata",10,"Yes","SDJY27",782133.996790688,7407685.99983241
"FGJL43",2019-07-17 08:04:00,1,1,"Pereskia aculeata",1,"No",NA,781966,7407596
"FGJL44",2019-07-17 10:14:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781640,7407949
"FGJL45",2019-07-17 10:42:00,0,0,"No seeds",0,"No",NA,781594,7408018
"FGJL46",2019-07-17 12:12:00,1,1,"Pereskia aculeata",1,"Yes","SDJY28",781628,7408131
"FGJL47",2019-07-17 12:13:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781635,7408132
"FGJL47",2019-07-17 12:13:00,7,2,"Pereskia aculeata",7,"Yes","SDJY29",781635,7408132
"FGJL48",2019-07-17 13:11:00,13,1,"Pereskia aculeata",13,"Yes","SDJY30",781715,7408226
"FGJL49",2019-07-17 13:33:00,2,2,"Pereskia aculeata",2,"Yes","SDJY31",781755,7408214
"FGJL49",2019-07-17 13:33:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781755,7408214
"FGJL50",2019-07-17 15:43:00,3,2,"Pereskia aculeata",3,"Yes","SDJY32",781996,7408059
"FGJL50",2019-07-17 15:43:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781996,7408059
"FGJL51",2019-07-18 08:01:00,NA,NA,"Invertebrate",0,"No",NA,782077,7407937
"FGJL51",2019-07-18 08:01:00,6,2,"Pereskia aculeata",6,"Yes","SDJY33",782077,7407937
"FGJL52",2019-07-18 08:02:00,5,1,"Pereskia aculeata",5,"Yes","SDJY34",782077,7407937
"FGJL53",2019-07-18 08:09:00,2,1,"Pereskia aculeata",2,"Yes","SDJY35",782074,7407934
"FGJL54",2019-07-18 08:12:00,23,1,"Pereskia aculeata",23,"Yes","SDJY36",782074,7407934
"FGJL55",2019-07-18 08:14:00,13,2,"Pereskia aculeata",13,"Yes","SDJY37",782075,7407935
"FGJL55",2019-07-18 08:14:00,NA,NA,"Invertebrate",0,"No",NA,782075,7407935
"FGJL56",2019-07-18 08:15:00,7,1,"Pereskia aculeata",7,"Yes","SDJY38",782075,7407935
"FGJL57",2019-07-18 08:15:00,8,1,"Pereskia aculeata",8,"Yes","SDJY39",782075,7407935
"FGJL58",2019-07-18 08:16:00,NA,NA,"Invertebrate",0,"No",NA,782075,7407935
"FGJL58",2019-07-18 08:16:00,7,2,"Pereskia aculeata",7,"Yes","SDJY40",782075,7407935
"FGJL59",2019-07-18 08:16:00,NA,NA,"Invertebrate",0,"No",NA,782075,7407935
"FGJL59",2019-07-18 08:16:00,2,2,"Pereskia aculeata",2,"Yes","SDJY41",782075,7407935
"FGJL60",2019-07-18 08:23:00,4,2,"Pereskia aculeata",4,"Yes","SDJY42",782069.517982655,7407968.42615263
"FGJL60",2019-07-18 08:23:00,NA,NA,"Insect (Orthoptera)",0,"No",NA,782069.517982655,7407968.42615263
"FGJL61",2019-07-18 09:39:00,NA,NA,"Invertebrate",0,"No",NA,781976.594190619,7407992.37212535
"FGJL61",2019-07-18 09:39:00,7,2,"Pereskia aculeata",7,"Yes","SDJY43",781976.594190619,7407992.37212535
"FGJL62",2019-07-18 16:07:00,3,1,"Pereskia aculeata",3,"Yes","SDJY44",782028,7407707
"FGJL63",2019-07-19 07:55:00,7,1,"Pereskia aculeata",7,"Yes","SDJY45",781958.996792956,7407597.99983212
"FGJL64",2019-07-19 08:03:00,5,2,"Pereskia aculeata",2,"Yes","SDJY46",781930.200027552,7407610.32464942
"FGJL64",2019-07-19 08:03:00,NA,NA,"Celtis iguanaea",3,"Yes","SDJY47",781930.200027552,7407610.32464942
"FGJL65",2019-07-19 08:04:00,NA,NA,"Pereskia aculeata",1,"Yes","SDJY48",781930.200027552,7407610.32464942
"FGJL65",2019-07-19 08:04:00,7,2,"Celtis iguanaea",6,"Yes","SDJY49",781930.200027552,7407610.32464942
"FGJL66",2019-07-19 11:31:00,0,0,"No seeds",0,"No",NA,782206.418164373,7407447.76046946
"FGJL67",2019-07-19 12:14:00,23,2,"Pereskia aculeata",23,"Yes","SDJY50",782293.99678823,7407506.99983266
"FGJL67",2019-07-19 12:14:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,782293.99678823,7407506.99983266
"FGJL68",2019-07-19 12:37:00,7,1,"Pereskia aculeata",7,"Yes","SDJY51",782294.678703662,7407553.68445794
"FGJL69",2019-07-19 13:01:00,6,1,"Pereskia aculeata",6,"Yes","SDJY52",782291.996788351,7407569.99983266
"FGJL70",2019-07-19 13:10:00,11,1,"Pereskia aculeata",11,"Yes","SDJY53",782292.996788372,7407593.99983267
"FGJL71",2019-07-19 13:37:00,19,1,"Pereskia aculeata",19,"Yes","SDJY54",782280.506719274,7407614.91772648
"FGJL72",2019-07-19 15:24:00,5,1,"Pereskia aculeata",5,"Yes","SDJY55",782280.996788521,7407583.99983265
"FGJL73",2019-07-20 07:32:00,13,2,"Pereskia aculeata",13,"Yes","SDJY56",781987.279444372,7407573.1023663
"FGJL73",2019-07-20 07:32:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781987.279444372,7407573.1023663
"FGJL74",2019-07-20 07:33:00,32,1,"Pereskia aculeata",32,"Yes","SDJY57",781996.996792453,7407609.99983218
"FGJL75",2019-07-20 07:34:00,4,2,"Pereskia aculeata",4,"Yes","SDJY58",781996.996792453,7407609.99983218
"FGJL75",2019-07-20 07:34:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781996.996792453,7407609.99983218
"FGJL76",2019-07-20 11:21:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781688.747393308,7407815.33278988
"FGJL76",2019-07-20 11:21:00,1,2,"Pereskia aculeata",1,"Yes","SDJY59",781688.747393308,7407815.33278988
"FGJL77",2019-07-20 13:35:00,0,2,"Syagrus romanzoffiana",0,"No",NA,781700.996797211,7408081.99983174
"FGJL77",2019-07-20 13:35:00,NA,NA,"Invertebrate",0,"No",NA,781700.996797211,7408081.99983174
"FGJL78",2019-07-20 15:56:00,4,2,"Pereskia aculeata",4,"Yes","SDJY60",781711.996797205,7408178.99983177
"FGJL78",2019-07-20 15:56:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781711.996797205,7408178.99983177
"FGJL79",2019-07-20 16:13:00,4,1,"Pereskia aculeata",4,"Yes","SDJY61",781754.996796513,7408109.99983183
"FGAU1",2019-08-11 07:28:00,34,1,"Pereskia aculeata",34,"No",NA,781734,7407595
"FGAU2",2019-08-11 07:37:00,4,2,"Pereskia aculeata",4,"No",NA,781799,7407646
"FGAU2",2019-08-11 07:37:00,NA,NA,"Invertebrate",0,"No",NA,781799,7407646
"FGAU3",2019-08-11 09:28:00,0,0,"No seeds",0,"No",NA,781748.996796185,7407832.9998318
"FGAU4",2019-08-11 10:37:00,1,1,"Pereskia aculeata",1,"Yes","SDAU1",781852.99679503,7408015.99983199
"FGAU5",2019-08-11 11:12:00,1,1,"Pereskia aculeata",1,"Yes","SDAU2",781820.815850813,7408003.22329828
"FGAU6",2019-08-11 11:21:00,0,0,"No seeds",0,"No",NA,781820.815850813,7408003.22329828
"FGAU7",2019-08-11 12:54:00,0,0,"No seeds",0,"No",NA,781748.99679662,7408126.99983183
"FGAU8",2019-08-11 12:59:00,7,1,"Pereskia aculeata",7,"Yes","SDAU3",781736.99679679,7408129.99983181
"FGAU9",2019-08-11 14:39:00,NA,NA,"Pereskia aculeata",NA,"No",NA,781699.397827926,7408200.83251227
"FGAU10",2019-08-11 15:13:00,NA,NA,"Invertebrate",0,"No",NA,781684.996797619,7408208.99983173
"FGAU10",2019-08-11 15:13:00,2,1,"Pereskia aculeata",2,"Yes","SDAU4",781684.996797619,7408208.99983173
"FGAU11",2019-08-11 15:55:00,2,1,"Pereskia aculeata",2,"Yes","SDAU5",781708.996797281,7408201.99983177
"FGAU12",2019-08-11 16:32:00,4,1,"Pereskia aculeata",4,"Yes","SDAU6",781820.996795694,7408167.99983195
"FGAU13",2019-08-12 07:08:00,6,2,"Pereskia aculeata",6,"Yes","SDAU7",781880.996794785,7408109.99983204
"FGAU13",2019-08-12 07:08:00,NA,NA,"Invertebrate",0,"No",NA,781880.996794785,7408109.99983204
"FGAU14",2019-08-12 07:09:00,1,1,"Pereskia aculeata",1,"Yes","SDAU8",781880.996794785,7408109.99983204
"FGAU15",2019-08-12 07:54:00,10,2,"Pereskia aculeata",10,"Yes","SDAU9",781990.996793217,7408068.99983222
"FGAU15",2019-08-12 07:54:00,NA,NA,"Spider",0,"No",NA,781990.996793217,7408068.99983222
"FGAU16",2019-08-12 08:31:00,NA,NA,"Invertebrate",0,"No",NA,782040.996792234,7407868.99983228
"FGAU16",2019-08-12 08:31:00,1,2,"Pereskia aculeata",1,"Yes","SDAU10",782040.996792234,7407868.99983228
"FGAU17",2019-08-12 10:30:00,12,1,"Pereskia aculeata",12,"Yes","SDAU11",781862.996794384,7407672.99983197
"FGAU18",2019-08-12 12:13:00,0,0,"No seeds",0,"No",NA,781883.996794019,7407620.999832
"FGAU19",2019-08-12 12:14:00,10,1,"Pereskia aculeata",10,"Yes","SDAU12",781883.996794019,7407620.999832
"FGAU20",2019-08-12 12:32:00,0,0,"No seeds",0,"No",NA,781876.996794099,7407609.99983198
"FGAU21",2019-08-12 12:43:00,0,0,"No seeds",0,"No",NA,781859.996794318,7407600.99983195
"FGAU22",2019-08-12 13:02:00,1,1,"Pereskia aculeata",1,"Yes","SDAU13",781866.99679416,7407558.99983196
"FGAU23",2019-08-12 13:05:00,0,0,"No seeds",0,"No",NA,781866.99679416,7407558.99983196
"FGAU24",2019-08-12 14:04:00,8,2,"Pereskia aculeata",8,"Yes","SDAU14",781935.996793142,7407510.99983207
"FGAU24",2019-08-12 14:04:00,NA,NA,"Invertebrate",0,"No",NA,781935.996793142,7407510.99983207
"FGAU25",2019-08-12 15:50:00,NA,NA,"Invertebrate",0,"No",NA,782027.996791786,7407446.99983222
"FGAU25",2019-08-12 15:50:00,7,1,"Pereskia aculeata",7,"Yes","SDAU15",782027.996791786,7407446.99983222
"FGAU26",2019-08-12 15:53:00,1,1,"Pereskia aculeata",1,"Yes","SDAU16",782033.996791715,7407454.99983223
"FGAU27",2019-08-12 15:53:00,NA,NA,"Invertebrate",0,"No",NA,782033.996791715,7407454.99983223
"FGAU27",2019-08-12 15:53:00,3,2,"Pereskia aculeata",3,"Yes","SDAU17",782033.996791715,7407454.99983223
"FGAU28",2019-08-12 16:16:00,10,2,"Pereskia aculeata",10,"Yes","SDAU18",782084.996791112,7407519.99983232
"FGAU28",2019-08-12 16:16:00,NA,NA,"Invertebrate",0,"No",NA,782084.996791112,7407519.99983232
"FGAU29",2019-08-12 16:35:00,0,0,"No seeds",0,"No",NA,782152.351291742,7407577.69664218
"FGAU30",2019-08-13 07:11:00,4,2,"Pereskia aculeata",4,"Yes","SDAU19",782134.666461775,7407605.07897942
"FGAU30",2019-08-13 07:11:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,782134.666461775,7407605.07897942
"FGAU31",2019-08-13 07:20:00,12,1,"Pereskia aculeata",12,"Yes","SDAU20",782142.996790443,7407603.99983242
"FGAU32",2019-08-13 07:21:00,5,1,"Pereskia aculeata",5,"Yes","SDAU21",782142.996790443,7407603.99983242
"FGAU33",2019-08-13 07:21:00,10,1,"Pereskia aculeata",10,"Yes","SDAU22",782142.996790443,7407603.99983242
"FGAU34",2019-08-13 07:22:00,NA,NA,"Spider",0,"No",NA,782142.996790443,7407603.99983242
"FGAU34",2019-08-13 07:22:00,4,2,"Pereskia aculeata",4,"Yes","SDAU23",782142.996790443,7407603.99983242
"FGAU35",2019-08-13 11:31:00,5,1,"Pereskia aculeata",5,"Yes","SDAU24",782068.996791195,7407426.99983228
"FGAU36",2019-08-13 11:32:00,2,1,"Pereskia aculeata",2,"Yes","SDAU25",782068.996791195,7407426.99983228
"FGAU37",2019-08-13 11:35:00,2,2,"Pereskia aculeata",2,"Yes","SDAU26",782063.996791249,7407417.99983227
"FGAU37",2019-08-13 11:35:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,782280.506719274,7407614.91772648
"FGAU38",2019-08-13 13:35:00,1,1,"Pereskia aculeata",1,"Yes","SDAU27",782280.506719274,7407614.91772648
"FGAU39",2019-08-13 14:15:00,1,1,"Pereskia aculeata",1,"Yes","SDAU28",782302.996788142,7407530.99983268
"FGAU40",2019-08-13 14:22:00,1,1,"Pereskia aculeata",1,"Yes","SDAU29",782327.996787799,7407530.99983272
"FGAU41",2019-08-13 15:58:00,1,1,"Pereskia aculeata",1,"Yes","SDAU30",782227.996789293,7407613.99983256
"FGAU41",2019-08-13 15:58:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,782227.996789293,7407613.99983256
"FGAU42",2019-08-14 07:28:00,0,0,"No seeds",0,"No",NA,782024.121889445,7407526.28072634
"FGAU43",2019-08-14 07:45:00,0,0,"No seeds",0,"No",NA,782016.996792058,7407528.99983221
"FGAU44",2019-08-14 07:47:00,1,2,"Pereskia aculeata",1,"Yes","SDAU31",782016.996792058,7407528.99983221
"FGAU44",2019-08-14 07:47:00,NA,NA,"Invertebrate",0,"No",NA,782016.996792058,7407528.99983221
"FGAU45",2019-08-14 09:45:00,1,1,"Pereskia aculeata",1,"Yes","SDAU32",781730.996796299,7407743.99983176
"FGAU45",2019-08-14 09:45:00,NA,NA,"Invertebrate",0,"No",NA,781730.996796299,7407743.99983176
"FGAU46",2019-08-14 10:05:00,5,1,"Pereskia aculeata",5,"Yes","SDAU33",781737.996796245,7407772.99983177
"FGAU47",2019-08-14 10:42:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781870.076735341,7407776.95028773
"FGAU47",2019-08-14 10:42:00,2,2,"Pereskia aculeata",2,"Yes","SDAU34",781870.076735341,7407776.95028773
"FGAU48",2019-08-14 11:16:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781929.996793587,7407754.99983208
"FGAU49",2019-08-14 11:24:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781980.996792892,7407757.99983217
"FGAU50",2019-08-14 11:39:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781983.996792835,7407746.99983217
"FGAU51",2019-08-14 11:47:00,4,1,"Pereskia aculeata",4,"Yes","SDAU35",782003.996792574,7407755.99983221
"FGAU52",2019-08-14 13:24:00,0,0,"No seeds",0,"No",NA,782035.9967923,7407865.99983227
"FGAU53",2019-08-14 14:45:00,7,2,"Pereskia aculeata",7,"Yes","SDAU36",781911.996793986,7407856.99983207
"FGAU53",2019-08-14 14:45:00,NA,NA,"Invertebrate",0,"No",NA,781911.996793986,7407856.99983207
"FGAU54",2019-08-15 07:57:00,NA,NA,"Pereskia aculeata",2,"Yes","SDAU37",781724.299442157,7407588.55161796
"FGAU54",2019-08-15 07:57:00,8,2,"Celtis iguanaea",6,"Yes","SDAU38",781724.299442157,7407588.55161796
"FGAU55",2019-08-15 07:57:00,6,1,"Celtis iguanaea",6,"Yes","SDAU39",781724.299442157,7407588.55161796
"FGAU56",2019-08-15 07:58:00,5,1,"Celtis iguanaea",5,"Yes","SDAU40",781720.996796202,7407585.99983172
"FGAU57",2019-08-15 08:04:00,2,1,"Pereskia aculeata",2,"Yes","SDAU41",781728.996796201,7407658.99983175
"FGAU58",2019-08-15 08:06:00,2,3,"Pereskia aculeata",2,"Yes","SDAU42",781728.996796201,7407658.99983175
"FGAU58",2019-08-15 08:06:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781728.996796201,7407658.99983175
"FGAU58",2019-08-15 08:06:00,NA,NA,"Invertebrate",0,"No",NA,781728.996796201,7407658.99983175
"FGAU59",2019-08-15 08:34:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781728.996796231,7407678.99983175
"FGAU60",2019-08-15 08:59:00,6,1,"Pereskia aculeata",6,"Yes","SDAU43",781719.080221152,7407748.58876782
"FGAU60",2019-08-15 08:59:00,NA,NA,"Invertebrate",0,"No",NA,781719.080221152,7407748.58876782
"FGAU61",2019-08-15 10:35:00,12,1,"Pereskia aculeata",12,"Yes","SDAU44",781649.996797564,7407847.99983163
"FGAU62",2019-08-15 10:43:00,10,1,"Pereskia aculeata",10,"Yes","SDAU45",781631.996797875,7407890.99983161
"FGAU63",2019-08-15 11:53:00,6,2,"Pereskia aculeata",6,"Yes","SDAU46",781648.578475705,7407939.79379625
"FGAU63",2019-08-15 11:53:00,NA,NA,"Invertebrate",0,"No",NA,781648.578475705,7407939.79379625
"FGAU64",2019-08-15 12:06:00,1,1,"Pereskia aculeata",1,"Yes","SDAU47",781648.578475705,7407939.79379625
"FGAU65",2019-08-15 12:20:00,15,2,"Pereskia aculeata",15,"Yes","SDAU48",781648.578475705,7407939.79379625
"FGAU66",2019-08-15 12:42:00,1,3,"Pereskia aculeata",1,"Yes","SDAU49",781650.996797781,7408003.99983165
"FGAU67",2019-08-15 12:58:00,1,4,"Pereskia aculeata",1,"Yes","SDAU50",781661.996797799,7408116.99983168
"FGAU68",2019-08-15 13:22:00,2,5,"Pereskia aculeata",2,"Yes","SDAU51",781655.99679797,7408176.99983168
"FGAU68",2019-08-15 13:22:00,NA,NA,"Invertebrate",0,"No",NA,781655.99679797,7408176.99983168
"FGAU69",2019-08-15 15:22:00,1,1,"Pereskia aculeata",1,"Yes","SDAU52",781768.283530352,7408048.33778939
"FGAU70",2019-08-15 15:54:00,5,1,"Pereskia aculeata",5,"Yes","SDAU53",781796.996795855,7408054.9998319
"FGAU71",2019-08-15 16:01:00,11,1,"Pereskia aculeata",11,"Yes","SDAU54",781785.194547387,7408071.39718372
"FGAU72",2019-08-19 07:24:00,6,1,"Pereskia aculeata",6,"No",NA,781724.299442157,7407588.55161796
"FGAU73",2019-08-19 07:26:00,2,1,"Pereskia aculeata",2,"No",NA,781724.299442157,7407588.55161796
"FGAU73",2019-08-19 07:26:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781724.299442157,7407588.55161796
"FGAU74",2019-08-19 07:27:00,22,1,"Pereskia aculeata",22,"No",NA,781740.996795941,7407594.99983176
"FGAU75",2019-08-19 07:30:00,11,2,"Pereskia aculeata",11,"No",NA,781740.996795941,7407594.99983176
"FGAU75",2019-08-19 07:30:00,NA,NA,"Invertebrate",0,"No",NA,781740.996795941,7407594.99983176
"FGAU76",2019-08-19 13:33:00,0,1,"Invertebrate",0,"No",NA,781845.996795139,7408023.99983198
"FGAU77",2019-08-20 07:11:00,7,1,"Pereskia aculeata",7,"Yes","SDAU55",781884.996794582,7408009.99983204
"FGAU78",2019-08-20 10:05:00,10,2,"Celtis iguanaea",1,"Yes","SDAU56",781754.996796044,7407792.9998318
"FGAU78",2019-08-20 10:05:00,NA,NA,"Pereskia aculeata",9,"Yes","SDAU57",781754.996796044,7407792.9998318
"FGAU79",2019-08-20 10:09:00,5,1,"Pereskia aculeata",5,"Yes","SDAU58",781757.996795983,7407780.99983181
"FGAU80",2019-08-20 10:51:00,22,2,"Pereskia aculeata",22,"Yes","SDAU59",781702.996796658,7407726.99983171
"FGAU80",2019-08-20 10:51:00,NA,NA,"Invertebrate",0,"No",NA,781702.996796658,7407726.99983171
"FGAU81",2019-08-20 11:15:00,3,1,"Pereskia aculeata",3,"Yes","SDAU60",781698.996796674,7407700.9998317
"FGAU82",2019-08-20 11:37:00,5,2,"Pereskia aculeata",5,"Yes","SDAU61",781697.615186766,7407701.23014468
"FGAU83",2019-08-20 12:08:00,9,3,"Pereskia aculeata",9,"Yes","SDAU62",781722.996796243,7407631.99983173
"FGAU84",2019-08-20 12:16:00,0,0,"No seeds",0,"No",NA,781720.996796278,7407636.99983173
"FGAU85",2019-08-20 12:33:00,0,0,"No seeds",0,"No",NA,781738.996796043,7407644.99983176
"FGAU86",2019-08-20 12:41:00,0,2,"Syagrus romanzoffiana",0,"No",NA,781739.996796022,7407639.99983176
"FGAU86",2019-08-20 12:41:00,NA,NA,"Invertebrate",0,"No",NA,781739.996796022,7407639.99983176
"FGAU87",2019-08-20 15:53:00,19,1,"Pereskia aculeata",19,"Yes","SDAU63",782018.996792076,7407558.99983221
"FGAU88",2019-08-21 07:10:00,12,1,"Pereskia aculeata",12,"Yes","SDAU64",782020.996792057,7407564.99983222
"FGAU88",2019-08-21 07:10:00,NA,NA,"Invertebrate",0,"No",NA,782020.996792057,7407564.99983222
"FGAU89",2019-08-21 07:12:00,0,1,"Invertebrate",0,"No",NA,782020.996792057,7407564.99983222
"FGAU90",2019-08-21 09:58:00,2,1,"Pereskia aculeata",2,"Yes","SDAU65",781746.103776557,7407728.45106886
"FGAU91",2019-08-21 10:03:00,5,3,"Celtis iguanaea",2,"Yes","SDAU66",781748.139377112,7407738.50109323
"FGAU91",2019-08-21 10:03:00,NA,NA,"Pereskia aculeata",3,"Yes","SDAU67",781748.139377112,7407738.50109323
"FGAU91",2019-08-21 10:03:00,NA,NA,"Syagrus romanzoffiana",0,"No",NA,781748.139377112,7407738.50109323
"FGAU92",2019-08-21 10:12:00,0,0,"No seeds",0,"No",NA,781730.996796301,7407744.99983176
"FGAU93",2019-08-21 10:13:00,0,0,"No seeds",0,"No",NA,781730.996796301,7407744.99983176
"FGAU94",2019-08-21 10:27:00,4,1,"Pereskia aculeata",4,"Yes","SDAU68",781737.996796209,7407747.99983177
"FGAU95",2019-08-21 10:35:00,2,1,"Pereskia aculeata",2,"Yes","SDAU69",781735.996796269,7407769.99983177
"FGAU96",2019-08-21 10:51:00,4,1,"Pereskia aculeata",4,"Yes","SDAU70",781698.99679692,7407866.99983172
"FGAU97",2019-08-21 10:54:00,0,1,"Syagrus romanzoffiana",0,"No",NA,781665.996797356,7407854.99983166
"FGAU98",2019-08-21 12:34:00,3,1,"Pereskia aculeata",3,"Yes","SDAU71",781608.31201018,7408027.34635225
"FGAU99",2019-08-21 12:36:00,2,1,"Pereskia aculeata",2,"Yes","SDAU72",781608.31201018,7408027.34635225
"FGAU100",2019-08-21 13:16:00,1,1,"Pereskia aculeata",1,"Yes","SDAU73",781661.996797835,7408141.99983168
"FGAU101",2019-08-21 14:08:00,0,0,"No seeds",0,"No",NA,781697,7408200
"FGAU102",2019-08-21 14:11:00,3,1,"Pereskia aculeata",3,"Yes","SDAU74",781697,7408200
"FGAU103",2019-08-21 14:13:00,12,1,"Pereskia aculeata",12,"Yes","SDAU75",781697,7408200
"FGAU104",2019-08-21 14:15:00,4,1,"Pereskia aculeata",4,"Yes","SDAU76",781697,7408200
"FGAU105",2019-08-21 15:06:00,2,1,"Pereskia aculeata",2,"Yes","SDAU77",781816.996795745,7408165.99983194
