"group","id_month","timesteps","ndays","mean_timesteps","step_len_mean_Foraging","step_len_mean_Travel","step_len_sd_Foraging","step_len_sd_Travel","rel_angle_mean_Foraging","rel_angle_mean_Travel","rel_angle_sd_Foraging","rel_angle_sd_Travel","max_random_angle_95q_Foraging","max_random_angle_95q_Travel","max_random_angle_75q_Foraging","max_random_angle_75q_Travel","p_foraging_while_traveling","GTT_mean","GTT_sd","morning_defecation_GTT_mean","morning_defecation_GTT_sd","n_trees_Frugivory","n_trees_Sleeping site","midday","midday_start","midday_end","count_rest","prob_rest","duration","p_resting","n_tamarins"
"Guareí","Aug",867,8,108,13.8710473509899,25.3008138996125,13.7254532336726,15.7471396125556,10.1541516836957,176.400921718385,125.949265664996,103.287726635917,2.00688981840123,1.8458698467047,1.34781575524918,1.03907225106833,0.697871201910313,19,9,2.39,4.31,77,7,54,16,92,101,0.116493656286044,16,0.116493656286044,5
"Guareí","Jul",853,8,107,12.9337858396692,25.1995179540689,14.0491651641941,17.2961236839912,171.482325020672,20.1504791709138,121.886179327167,143.15539615832,2.11393499036032,2.40764780275294,1.32052986154008,1.26978196623662,0.536646016086892,13,6,2.9,1.97,86,8,54,16,91,44,0.0515826494724502,5,0.0515826494724502,5
"Guareí","Jun",657,6,110,12.1373560652533,25.4414828210432,12.6337659088232,19.4057102365906,9.18130088392058,11.6515544569431,122.367813402987,130.501678435919,2.17678785778142,2.08892705497986,1.37871763170089,1.31991803788654,0.473855779943254,18,10,4.26,6.28,43,5,55,16,94,36,0.0547945205479452,5,0.0547945205479452,5
"Guareí","May",447,4,112,14.0602715522035,23.4262529560658,13.8648191047585,18.0080855378405,2.99153016767734,169.914975069172,90.6530823729007,128.589004807949,2.41948877540977,1.95691210399625,1.20389479931005,1.18441339288751,0.362358870393786,17,11,1.64,1.03,28,1,56,17,95,19,0.0425055928411633,5,0.0425055928411633,5
"Santa Maria","Apr",451,4,113,21.034303941083,35.9710991158429,19.220922797291,26.5914220857306,164.764508237006,174.611194648235,137.35963366138,114.51881200983,2.14091886810278,2.1499641849992,1.0995006245069,1.02552210627189,0.613185708811736,16.6,2.3,2.8,2.36,43,2,56,17,96,156,0.34589800443459,11,0.34589800443459,2
"Santa Maria","Mar",699,6,116,16.9495389420606,32.374746763731,16.2962132667175,21.3023138075332,169.704999762294,166.832119300601,121.4195579421,136.451543887927,2.7731295186176,2.08309596214119,1.566062907285,1.2041880664503,0.592938237637939,16,12,2.8,2.36,61,6,58,17,99,242,0.34620886981402,21,0.34620886981402,2
"Suzano","Dec",726,6,121,8.38432687131186,17.489357303595,6.32171562920328,6.56290281153064,168.888462568066,8.30668358657759,135.941131714052,133.083614612306,1.77616760147505,1.53544052116956,0.893676966982764,0.829527560281861,0.206769100095304,21,9,5.75,6.13,46,7,60,18,103,326,0.449035812672176,20,0.449035812672176,6
"Suzano","Sep",347,3,116,7.510744785865,17.9358226338939,5.38488613296073,7.08567737411821,177.806574818699,2.2068496019158,84.9114643960009,86.0522826492897,1.69206399251517,1.74087000045147,0.97597193999985,1.11027113310918,0.310342211093406,26,9,6.8,4.49,27,3,58,17,99,165,0.475504322766571,14,0.475504322766571,4
"Taquara","Jan",855,6,142,30.887319222552,39.3060092615361,9.77470384917295,13.2060760646049,2.32159019484973,3.24270169983598,101.959295569012,128.693085613784,1.30630254943119,0.74353459313003,0.750758568271881,0.311605959436035,0.213117773083583,16,7,1,0,58,7,71,21,121,278,0.325146198830409,16,0.325146198830409,4
