group;month;HR_km2;HR_diam_km;DI_index;M_index
Guareí;May;0.4680;0.5959;1.7027;1.0245
Guareí;Jun;0.4680;0.5959;1.7022;1.0242
Guareí;Jul;0.4680;0.5959;1.5891;0.9562
Guareí;Aug;0.4680;0.5959;1.5278;0.9193
Santa Maria;Mar;0.8567;1.0908;1.9570;0.4088
Santa Maria;Apr;0.8567;1.0908;1.8555;0.3876
Taquara;Jan;3.8300;4.8765;2.0556;0.0312
Suzano;Sep;0.3500;0.4456;0.9223;0.9227
Suzano;Dec;0.3500;0.4456;1.0579;1.0584
