ticks day timestep x y energy status action
 2638 24 108 781876.82 7408065.52 223.8 "forage" "forage" 
 2639 24 109 781876.82 7408065.52 223.8 "night" "" 
 2640 24 110 781846.68 7408017.63 222.2 "sleeping" "to sleeping tree" 
 1 1 1 781697.48 7407701.46 61 "hungry" "search feeding tree" 
 2 1 2 781697.48 7407701.46 61 "hungry" "on feeding tree" 
 3 1 3 781697.48 7407701.46 66 "hungry" "on feeding tree" 
 4 1 4 781707.6 7407684.44 64 "hungry" "search feeding tree" 
 5 1 5 781707.6 7407684.44 62 "hungry" "on feeding tree" 
 6 1 6 781707.6 7407684.44 67 "hungry" "on feeding tree" 
 7 1 7 781697.48 7407701.46 65 "hungry" "search feeding tree" 
 8 1 8 781697.48 7407701.46 63 "hungry" "on feeding tree" 
 9 1 9 781697.48 7407701.46 68 "hungry" "on feeding tree" 
 10 1 10 781706.1 7407719.29 66 "hungry" "search feeding tree" 
 11 1 11 781706.1 7407719.29 64 "hungry" "on feeding tree" 
 12 1 12 781706.1 7407719.29 67 "hungry" "on feeding tree" 
 13 1 13 781697.48 7407701.46 65 "hungry" "search feeding tree" 
 14 1 14 781697.48 7407701.46 63 "hungry" "on feeding tree" 
 15 1 15 781697.48 7407701.46 66 "hungry" "on feeding tree" 
 16 1 16 781706.1 7407719.29 64 "hungry" "search feeding tree" 
 17 1 17 781706.1 7407719.29 62 "hungry" "on feeding tree" 
 18 1 18 781706.1 7407719.29 65 "hungry" "on feeding tree" 
 19 1 19 781706.1 7407719.29 68 "hungry" "on feeding tree" 
 20 1 20 781706.1 7407719.29 71 "hungry" "on feeding tree" 
 21 1 21 781697.48 7407701.46 69 "hungry" "search feeding tree" 
 22 1 22 781697.48 7407701.46 67 "hungry" "on feeding tree" 
 23 1 23 781697.48 7407701.46 70 "hungry" "on feeding tree" 
 24 1 24 781707.6 7407684.44 68 "hungry" "search feeding tree" 
 25 1 25 781707.6 7407684.44 66 "hungry" "on feeding tree" 
 26 1 26 781707.6 7407684.44 71 "hungry" "on feeding tree" 
 27 1 27 781697.48 7407701.46 69 "hungry" "search feeding tree" 
 28 1 28 781697.48 7407701.46 67 "hungry" "on feeding tree" 
 29 1 29 781697.48 7407701.46 72 "hungry" "on feeding tree" 
 30 1 30 781707.6 7407684.44 70 "hungry" "search feeding tree" 
 31 1 31 781707.6 7407684.44 68 "hungry" "on feeding tree" 
 32 1 32 781727.25 7407681.94 66 "hungry" "search feeding tree" 
 33 1 33 781727.25 7407681.94 64 "hungry" "on feeding tree" 
 34 1 34 781727.25 7407681.94 67 "hungry" "on feeding tree" 
 35 1 35 781727.25 7407681.94 70 "hungry" "on feeding tree" 
 36 1 36 781746.89 7407679.43 68 "hungry" "search feeding tree" 
 37 1 37 781746.89 7407679.43 66 "hungry" "on feeding tree" 
 38 1 38 781746.89 7407679.43 69 "hungry" "on feeding tree" 
 39 1 39 781734.37 7407664.09 67 "hungry" "search feeding tree" 
 40 1 40 781734.37 7407664.09 65 "hungry" "on feeding tree" 
 41 1 41 781734.37 7407664.09 70 "hungry" "on feeding tree" 
 42 1 42 781734.37 7407664.09 75 "hungry" "on feeding tree" 
 43 1 43 781746.89 7407679.43 73 "hungry" "search feeding tree" 
 44 1 44 781746.89 7407679.43 71 "hungry" "on feeding tree" 
 45 1 45 781734.37 7407664.09 69 "hungry" "search feeding tree" 
 46 1 46 781734.37 7407664.09 67 "hungry" "on feeding tree" 
 47 1 47 781734.37 7407664.09 72 "hungry" "on feeding tree" 
 48 1 48 781728.93 7407683.13 70 "hungry" "search feeding tree" 
 49 1 49 781728.93 7407683.13 68 "hungry" "on feeding tree" 
 50 1 50 781728.93 7407683.13 71 "hungry" "on feeding tree" 
 51 1 51 781728.93 7407683.13 74 "hungry" "on feeding tree" 
 52 1 52 781728.93 7407683.13 77 "hungry" "on feeding tree" 
 53 1 53 781734.37 7407664.09 75 "hungry" "search feeding tree" 
 54 1 54 781734.37 7407664.09 73 "hungry" "on feeding tree" 
 55 1 55 781734.37 7407664.09 76 "hungry" "on feeding tree" 
 56 1 56 781734.37 7407664.09 79 "hungry" "on feeding tree" 
 57 1 57 781728.93 7407683.13 77 "hungry" "search feeding tree" 
 58 1 58 781728.93 7407683.13 75 "hungry" "on feeding tree" 
 59 1 59 781728.93 7407683.13 78 "hungry" "on feeding tree" 
 60 1 60 781734.37 7407664.09 76 "hungry" "search feeding tree" 
 61 1 61 781734.37 7407664.09 74 "hungry" "on feeding tree" 
 62 1 62 781734.37 7407664.09 77 "hungry" "on feeding tree" 
 63 1 63 781734.37 7407664.09 80 "hungry" "on feeding tree" 
 64 1 64 781746.89 7407679.43 78 "hungry" "search feeding tree" 
 65 1 65 781746.89 7407679.43 76 "hungry" "on feeding tree" 
 66 1 66 781746.89 7407679.43 81 "hungry" "on feeding tree" 
 67 1 67 781746.89 7407679.43 86 "hungry" "on feeding tree" 
 68 1 68 781746.89 7407679.43 91 "hungry" "on feeding tree" 
 69 1 69 781734.37 7407664.09 89 "hungry" "search feeding tree" 
 70 1 70 781734.37 7407664.09 87 "hungry" "on feeding tree" 
 71 1 71 781734.37 7407664.09 92 "hungry" "on feeding tree" 
 72 1 72 781746.89 7407679.43 90 "hungry" "search feeding tree" 
 73 1 73 781746.89 7407679.43 88 "hungry" "on feeding tree" 
 74 1 74 781746.89 7407679.43 93 "hungry" "on feeding tree" 
 75 1 75 781727.25 7407681.94 91 "hungry" "search feeding tree" 
 76 1 76 781727.25 7407681.94 89 "hungry" "on feeding tree" 
 77 1 77 781727.25 7407681.94 92 "hungry" "on feeding tree" 
 78 1 78 781727.25 7407681.94 95 "hungry" "on feeding tree" 
 79 1 79 781727.25 7407681.94 98 "hungry" "on feeding tree" 
 80 1 80 781727.25 7407681.94 101 "hungry" "on feeding tree" 
 81 1 81 781746.89 7407679.43 99 "hungry" "search feeding tree" 
 82 1 82 781746.89 7407679.43 97 "hungry" "on feeding tree" 
 83 1 83 781746.89 7407679.43 100 "hungry" "on feeding tree" 
 84 1 84 781746.89 7407679.43 103 "hungry" "on feeding tree" 
 85 1 85 781727.25 7407681.94 101 "hungry" "search feeding tree" 
 86 1 86 781727.25 7407681.94 99 "hungry" "on feeding tree" 
 87 1 87 781746.89 7407679.43 97 "hungry" "search feeding tree" 
 88 1 88 781746.89 7407679.43 95 "hungry" "on feeding tree" 
 89 1 89 781746.89 7407679.43 98 "hungry" "on feeding tree" 
 90 1 90 781746.89 7407679.43 101 "hungry" "on feeding tree" 
 91 1 91 781734.37 7407664.09 99 "hungry" "search feeding tree" 
 92 1 92 781734.37 7407664.09 97 "hungry" "on feeding tree" 
 93 1 93 781734.37 7407664.09 102 "hungry" "on feeding tree" 
 94 1 94 781734.37 7407664.09 107 "hungry" "on feeding tree" 
 95 1 95 781734.37 7407664.09 112 "hungry" "on feeding tree" 
 96 1 96 781746.89 7407679.43 110 "hungry" "search feeding tree" 
 97 1 97 781746.89 7407679.43 108 "hungry" "on feeding tree" 
 98 1 98 781734.37 7407664.09 106 "hungry" "search feeding tree" 
 99 1 99 781734.37 7407664.09 104 "hungry" "on feeding tree" 
 100 1 100 781734.37 7407664.09 109 "hungry" "on feeding tree" 
 101 1 101 781734.37 7407664.09 114 "hungry" "on feeding tree" 
 102 1 102 781734.37 7407664.09 119 "hungry" "on feeding tree" 
 103 1 103 781728.93 7407683.13 117 "hungry" "search feeding tree" 
 104 1 104 781728.93 7407683.13 115 "hungry" "on feeding tree" 
 105 1 105 781734.37 7407664.09 113 "hungry" "search feeding tree" 
 106 1 106 781734.37 7407664.09 111 "hungry" "on feeding tree" 
 107 1 107 781734.37 7407664.09 111 "night" "" 
 108 1 108 781796.5 7407446.49 109 "sleeping" "to sleeping tree" 
 109 2 1 781808.37 7407430.64 107 "none" "search feeding tree" 
 110 2 2 781808.37 7407430.64 61 "hungry" "on feeding tree" 
 111 2 3 781808.37 7407430.64 64 "hungry" "on feeding tree" 
 112 2 4 781820.24 7407414.78 62 "hungry" "search feeding tree" 
 113 2 5 781820.24 7407414.78 60 "hungry" "on feeding tree" 
 114 2 6 781820.24 7407414.78 63 "hungry" "on feeding tree" 
 115 2 7 781820.24 7407414.78 66 "hungry" "on feeding tree" 
 116 2 8 781832.1 7407398.93 64 "hungry" "search feeding tree" 
 117 2 9 781832.1 7407398.93 62 "hungry" "on feeding tree" 
 118 2 10 781832.1 7407398.93 65 "hungry" "on feeding tree" 
 119 2 11 781832.1 7407398.93 68 "hungry" "on feeding tree" 
 120 2 12 781843.97 7407383.08 66 "hungry" "search feeding tree" 
 121 2 13 781843.97 7407383.08 64 "hungry" "on feeding tree" 
 122 2 14 781843.97 7407383.08 67 "hungry" "on feeding tree" 
 123 2 15 781843.97 7407383.08 70 "hungry" "on feeding tree" 
 124 2 16 781832.1 7407398.93 68 "hungry" "search feeding tree" 
 125 2 17 781832.1 7407398.93 66 "hungry" "on feeding tree" 
 126 2 18 781832.1 7407398.93 69 "hungry" "on feeding tree" 
 127 2 19 781841.87 7407381.71 67 "hungry" "search feeding tree" 
 128 2 20 781841.87 7407381.71 65 "hungry" "on feeding tree" 
 129 2 21 781841.87 7407381.71 68 "hungry" "on feeding tree" 
 130 2 22 781851.64 7407364.48 66 "hungry" "search feeding tree" 
 131 2 23 781851.64 7407364.48 64 "hungry" "on feeding tree" 
 132 2 24 781851.64 7407364.48 67 "hungry" "on feeding tree" 
 133 2 25 781843.96 7407382.73 65 "hungry" "search feeding tree" 
 134 2 26 781843.96 7407382.73 63 "hungry" "on feeding tree" 
 135 2 27 781843.96 7407382.73 66 "hungry" "on feeding tree" 
 136 2 28 781836.29 7407400.99 64 "hungry" "search feeding tree" 
 137 2 29 781836.29 7407400.99 62 "hungry" "on feeding tree" 
 138 2 30 781836.29 7407400.99 65 "hungry" "on feeding tree" 
 139 2 31 781843.96 7407382.73 63 "hungry" "search feeding tree" 
 140 2 32 781843.96 7407382.73 61 "hungry" "on feeding tree" 
 141 2 33 781843.96 7407382.73 64 "hungry" "on feeding tree" 
 142 2 34 781853.06 7407365.15 62 "hungry" "search feeding tree" 
 143 2 35 781853.06 7407365.15 60 "hungry" "on feeding tree" 
 144 2 36 781853.06 7407365.15 63 "hungry" "on feeding tree" 
 145 2 37 781853.06 7407365.15 66 "hungry" "on feeding tree" 
 146 2 38 781844.02 7407382.77 64 "hungry" "search feeding tree" 
 147 2 39 781844.02 7407382.77 62 "hungry" "on feeding tree" 
 148 2 40 781844.02 7407382.77 65 "hungry" "on feeding tree" 
 149 2 41 781834.99 7407400.38 63 "hungry" "search feeding tree" 
 150 2 42 781834.99 7407400.38 61 "hungry" "on feeding tree" 
 151 2 43 781834.99 7407400.38 64 "hungry" "on feeding tree" 
 152 2 44 781834.99 7407400.38 67 "hungry" "on feeding tree" 
 153 2 45 781844.05 7407382.78 65 "hungry" "search feeding tree" 
 154 2 46 781844.05 7407382.78 63 "hungry" "on feeding tree" 
 155 2 47 781844.05 7407382.78 66 "hungry" "on feeding tree" 
 156 2 48 781844.05 7407382.78 69 "hungry" "on feeding tree" 
 157 2 49 781844.05 7407382.78 72 "hungry" "on feeding tree" 
 158 2 50 781834.35 7407400.04 70 "hungry" "search feeding tree" 
 159 2 51 781834.35 7407400.04 68 "hungry" "on feeding tree" 
 160 2 52 781844.05 7407382.78 66 "hungry" "search feeding tree" 
 161 2 53 781844.05 7407382.78 64 "hungry" "on feeding tree" 
 162 2 54 781844.05 7407382.78 67 "hungry" "on feeding tree" 
 163 2 55 781844.05 7407382.78 70 "hungry" "on feeding tree" 
 164 2 56 781844.05 7407382.78 73 "hungry" "on feeding tree" 
 165 2 57 781834.35 7407400.04 71 "hungry" "search feeding tree" 
 166 2 58 781834.35 7407400.04 69 "hungry" "on feeding tree" 
 167 2 59 781834.35 7407400.04 72 "hungry" "on feeding tree" 
 168 2 60 781834.35 7407400.04 75 "hungry" "on feeding tree" 
 169 2 61 781834.35 7407400.04 78 "hungry" "on feeding tree" 
 170 2 62 781844.05 7407382.78 76 "hungry" "search feeding tree" 
 171 2 63 781844.05 7407382.78 74 "hungry" "on feeding tree" 
 172 2 64 781844.05 7407382.78 77 "hungry" "on feeding tree" 
 173 2 65 781834.35 7407400.04 75 "hungry" "search feeding tree" 
 174 2 66 781834.35 7407400.04 73 "hungry" "on feeding tree" 
 175 2 67 781834.35 7407400.04 76 "hungry" "on feeding tree" 
 176 2 68 781843.57 7407382.52 74 "hungry" "search feeding tree" 
 177 2 69 781843.57 7407382.52 72 "hungry" "on feeding tree" 
